Date,Wind speed m/s
6/15/2024 17:49:26,0
6/15/2024 17:49:27,2.4
6/15/2024 17:49:27,0
6/15/2024 17:49:28,2.4
6/15/2024 17:49:28,0
6/15/2024 17:49:29,0
6/15/2024 17:49:29,2.4
6/15/2024 17:49:30,0
6/15/2024 17:49:30,1.2
6/15/2024 17:49:31,0
6/15/2024 17:49:31,0
6/15/2024 17:49:32,2.4
6/15/2024 17:49:32,0
6/15/2024 17:49:33,2.4
6/15/2024 17:49:33,0
6/15/2024 17:49:34,2.4
6/15/2024 17:49:34,0
6/15/2024 17:49:35,2.4
6/15/2024 17:49:35,2.4
6/15/2024 17:49:36,0
6/15/2024 17:49:36,1.2
6/15/2024 17:49:37,0
6/15/2024 17:49:37,2.4
6/15/2024 17:49:38,1.2
6/15/2024 17:49:38,0
6/15/2024 17:49:39,2.4
6/15/2024 17:49:39,0
6/15/2024 17:49:40,2.4
6/15/2024 17:49:40,2.4
6/15/2024 17:49:41,0
6/15/2024 17:49:41,2.4
6/15/2024 17:49:42,0
6/15/2024 17:49:42,2.4
6/15/2024 17:49:43,0
6/15/2024 17:49:43,2.4
6/15/2024 17:49:44,0
6/15/2024 17:49:44,2.4
6/15/2024 17:49:45,0
6/15/2024 17:49:45,2.4
6/15/2024 17:49:46,2.4
6/15/2024 17:49:46,0
6/15/2024 17:49:47,2.4
6/15/2024 17:49:47,2.4
6/15/2024 17:49:48,0
6/15/2024 17:49:48,2.4
6/15/2024 17:49:49,2.4
6/15/2024 17:49:49,0
6/15/2024 17:49:50,2.4
6/15/2024 17:49:50,2.4
6/15/2024 17:49:51,0
6/15/2024 17:49:51,2.4
6/15/2024 17:49:52,2.4
6/15/2024 17:49:52,1.2
6/15/2024 17:49:53,0
6/15/2024 17:49:53,4.8
6/15/2024 17:49:54,2.4
6/15/2024 17:49:54,2.4
6/15/2024 17:49:55,2.4
6/15/2024 17:49:55,1.2
6/15/2024 17:49:56,2.4
6/15/2024 17:49:56,3.6
6/15/2024 17:49:57,2.4
6/15/2024 17:49:57,2.4
6/15/2024 17:49:58,2.4
6/15/2024 17:49:58,1.2
6/15/2024 17:49:59,2.4
6/15/2024 17:49:59,4.8
