duration1,duration2,temperature,humidity,speedlevel
574,566,27.3,58.9,12.2
574,567,27.4,59,12.2
567,590,27.4,59,12.2
567,564,27.4,58.8,12.2
567,584,27.4,58.8,12.2
568,560,27.4,59,12.2
591,560,27.4,59,12.2
591,560,27.4,58.9,12.2
573,584,27.4,58.9,12.2
573,584,27.4,59,12.2
574,567,27.4,59,12.2
574,590,27.3,58.8,12.2
568,566,27.3,58.8,12.2
591,566,27.4,58.9,12.2
591,585,27.4,58.9,12.2
591,561,27.4,58.6,12.2
591,584,27.4,58.6,12.2
591,584,27.4,58.8,12.2
573,561,27.4,58.8,12.2
573,584,27.4,58.9,12.2
574,566,27.4,58.9,12.2
574,563,27.3,58.9,12.2
570,564,27.3,58.9,12.2
568,591,27.3,58.8,12.2
567,560,27.3,58.8,12.2
592,558,27.3,59,12.2
574,584,27.3,59,12.2
574,584,27.4,59.1,12.2
574,564,27.4,59.1,12.2
574,563,27.4,59.1,12.2
568,567,27.4,59.1,12.2
567,566,27.4,59.1,12.2
567,566,27.4,59.1,12.2
594,563,27.4,59.1,12.2
594,558,27.4,59.1,12.2
568,561,27.4,59.1,12.2
573,561,27.4,59.1,12.2
574,557,27.4,59,12.2
574,558,27.4,59,12.2
574,563,27.4,59.2,12.2
591,564,27.4,59.2,12.2
568,563,27.3,59.1,12.2
567,567,27.3,59.1,12.2
594,564,27.4,59,12.2
567,558,27.4,59,12.2
594,560,27.4,59,12.2
574,561,27.4,59,12.2
574,584,27.4,58.9,12.2
600,584,27.4,58.9,12.2
574,584,27.3,58.9,12.2
568,564,27.3,58.9,12.2
568,563,27.5,59.1,12.2
594,566,27.5,59.1,12.2
567,591,27.4,58.7,12.2
567,560,27.4,58.7,12.2
568,557,27.4,58.8,12.2
574,558,27.4,58.8,12.2
597,560,27.4,58.9,12.2
574,590,27.4,58.9,12.2
598,563,27.3,58.8,12.2
591,564,27.3,58.8,12.2
568,566,27.4,58.9,12.2
567,560,27.4,58.9,12.2
591,560,27.4,58.8,12.2
574,584,27.4,58.8,12.2
574,557,27.4,58.8,12.2
573,591,27.4,58.8,12.2
574,564,27.4,58.7,12.2
