duration1,duration2,temperature,Humidity,Direction,Velocity
569,561,27,64.9,0,19.1
570,557,27,64.9,0,19.1
576,560,27,64.9,0,19.1
579,557,27.1,65.1,0,19.1
576,560,27.1,65.1,0,19.1
576,557,27,64.9,0,19.1
576,564,27,64.9,0,19.1
576,563,27.1,65.2,0,19.1
596,567,27.1,65.2,0,19.1
596,564,27,65.3,0,19.1
569,590,27,65.3,0,19.1
570,563,27,64.9,0,19.1
596,564,27,64.9,0,19.1
570,557,27,65,0,19.1
596,557,27,65,0,19.1
596,560,26.9,65.1,0,19.1
596,557,26.9,65.1,0,19.1
596,557,27,64.7,0,19.1
602,557,27,64.7,0,19.1
603,557,27,65.2,0,19.1
602,557,27,65.2,0,19.1
602,557,27,65.2,0,19.1
602,564,27,65.2,0,19.1
579,564,27,65.1,0,19.1
570,567,27,65.1,0,19.1
596,563,27,65,0,19.1
596,564,27,65,0,19.1
570,566,27.1,65,0,19.1
596,557,27.1,65,0,19.1
596,557,26.9,65.2,0,19.1
573,560,26.9,65.2,0,19.1
593,557,27,65.1,0,19.1
579,557,27,65.1,0,19.1
576,561,27,65.2,0,19.1
602,584,27,65.2,0,19.1
576,557,27,65.1,0,19.1
576,590,27,65.1,0,19.1
576,564,27.1,65.2,0,19.1
602,591,27.1,65.2,0,19.1
576,567,26.9,65.2,0,19.1
596,591,26.9,65.2,0,19.1
570,563,27,65.2,0,19.1
569,563,27,65.2,0,19.1
570,590,27.1,65.3,0,19.1
569,563,27.1,65.3,0,19.1
570,567,27,65.1,0,19.1
596,557,27,65.1,0,19.1
570,557,27.1,65.2,0,19.1
